ID,site,ALS,P1,P2,P3,T1,T2,T3,GR1,GR2,GR3,PM2.5_1,PM2.5_2,PM2.5_3,PM2.5_4,CO2_1,CO2_2,CO2_3,pop1,pop2,pop3,GDP1,GDP2,GDP3,area1,area2,area3,light,income,name,name1,name2,GCPNT_LAT,GCPNT_LON,CTR_MN_NM,GRGN_L1
4436,2,265.1393058,717.0500031,558.4749985,699.8999939,27.53936577,27.50591707,27.31448317,0.407741161,0.408343532,0.221226854,47.7871,39.26742,37.72516,35.75322,2729.7645,1157.40129,835.784931,60481.104,52225.30365,35701.79566,303010720,97640536,73053384,1.36560297,1.123996019,0.637197077,2.134225994,2,Bhadgaon,,,20.66551225,75.23364186,India,Asia
4437,2,584.9462103,903.4750061,767.0250092,969.1000519,25.8813076,25.582335,25.41543102,0.405874257,0.389911211,0.243022374,40.739,34.47576,33.49326,32.72976,15521.13419,6904.370826,5692.922778,161802.2511,152567.0963,126671.4193,859121088,290195360,217120448,4.252382278,3.356994152,2.331843138,5.0633946,2,Islampur,,,17.05618704,74.26320558,India,Asia
4438,2,576.0813238,945.25,820.7500153,990.0000153,26.04311752,25.72306061,25.57683611,0.478615837,0.473490658,0.286313867,39.09925,33.11056,31.90744,31.39626,14602.47084,5909.459784,4697.137866,108854.7567,95110.19854,79791.93369,674575424,300277152,224663456,2.265769482,1.59180212,1.137773991,1.842846851,2,Kodoli,,,16.86410778,74.21171276,India,Asia
4439,2,399.9980298,994.625,698.3500061,783.0250092,26.08229637,26.29486895,26.11911011,0.351587288,0.293915561,0.167248931,53.8,47.14172,45.41428,42.62228,521.3189783,217.8609904,132.0939733,56906.06775,53367.84375,29359.51855,49908552,17874182,15010760,0.674682021,0.412337989,0.159231007,4.22528854,2,Jirapur,,,24.01422341,76.3697853,India,Asia
4440,2,633.3516049,707.3000183,551.7250214,704.9500122,26.27368212,26.14200878,25.90927172,0.357709811,0.338253441,0.213327618,45.08585,37.48754,35.67472,33.06754,1568.986262,634.967728,460.1233848,91150.1322,77420.28186,58037.96875,202469776,42408996,31729864,1.292992949,1.153221965,0.785295963,4.572109086,2,Kannad,,,20.26203608,75.13358899,India,Asia
4441,2,383.724449,870.6999969,617.0500183,775.9750061,26.7406497,26.81597328,26.63028193,0.574036837,0.575693098,0.256526278,45.9611,37.04112,35.68778,35.22222,692.3327036,272.8345434,188.6416403,68751.56934,49397.31641,32066.68665,45214984,25211262,21172452,0.052054998,0.034988999,0.024141002,0.586083964,2,Bhagwanpur,,,21.61341302,75.55313216,India,Asia
4442,2,570.6482838,945.25,820.7500153,990.0000153,26.04311752,25.72306061,25.57683611,0.417296219,0.460728825,0.260023194,38.82365,32.45742,31.4828,31.02128,236838.4031,101645.0584,88590.19675,734264.0357,687154.4969,613902.6755,5088036864,1923207808,1438919296,29.56012726,25.30044746,18.58670616,8.394420972,2,Kolhapur,,,16.6915796,74.2428502,India,Asia
4443,2,217.8884451,972.2750244,839.5000153,1078.600037,24.42159748,24.70026684,23.86400843,0.388758121,0.380293672,0.252427335,93.09035,85.18542,83.98748,79.53988,27553.5742,10986.71463,8069.889186,248703.358,210026.3128,170059.6874,785332352,402868832,339352608,2.453044176,1.807659864,1.533085227,1.622219923,2,Seohara,,,29.1962337,78.60787803,India,Asia
4444,2,536.000467,1201.925018,808.6000061,991.7000275,25.51318932,25.71233082,25.51597786,0.358806742,0.394120154,0.20220372,48.8767,41.19184,40.02588,37.60144,56128.07281,23537.25691,17855.95762,340785.5057,290225.4669,225707.1074,813682432,371471232,311962048,12.11853313,10.11024189,5.864880085,11.6589867,2,Dewas,,,22.95610126,76.04008988,India,Asia
4445,2,214.7610149,849.3250122,681.6000061,917.9500275,25.04392672,25.29409122,24.54507017,0.32761348,0.331017943,0.245537713,104.007,95.90294,95.82866,89.3457,53413.1023,21545.88515,16647.29162,466313.1186,380314.9016,331946.6969,1811397632,782303104,658965312,4.771391392,4.368091583,3.752294064,8.192782738,2,Amroha,,,28.8949117,78.46940434,India,Asia
4446,2,180.1588431,795.2000122,620.0000229,733.0750275,26.02577639,26.28286123,25.8322525,0.316723295,0.265688649,0.221717933,94.3379,91.05696,95.31702,83.51092,450.5148437,174.1734306,131.7554426,87466.35938,63787.43823,51515.71762,289419008,57392392,43819480,0.279823989,0.214898989,0.160629004,3.211494654,2,Rupbas,,,26.99367599,77.59470068,India,Asia
4447,2,325.7142926,857.4000244,626.0750046,682.5750046,25.83823919,26.06092501,25.86209011,0.377551112,0.331834919,0.276413667,56.08975,49.56922,47.69486,44.60976,1530.821501,657.5169008,521.1492989,138267.2422,129749.8551,109514.9767,103027232,134285600,102527976,1.033501029,0.512566984,0.159820005,15.6083395,2,Aklera,,,24.41086979,76.5643763,India,Asia
4448,2,12.82001496,2047.100037,1687.650024,2093.800079,28.3872385,28.05923748,27.91507149,0.568848214,0.536401267,0.347609855,31.5036,26.79958,26.3719,27.44978,26976.21246,11841.60261,9980.594854,198273.2652,182472.1982,165217.6645,2256994304,607760000,316488992,22.61891365,22.4479847,20.25297356,4.218371593,2,Margao,,,15.25230269,73.94909031,India,Asia
4449,2,219.8771797,972.2750244,839.5000153,1078.600037,24.42159748,24.70026684,23.86400843,0.401382979,0.424824101,0.265935661,95.7472,86.99056,86.31888,81.4511,3043.527933,1083.544569,740.1832375,52680.9729,50967.22021,37424.47968,131583456,62063320,52278428,0.519609988,0.438666016,0.337381005,1.199802712,2,Sahaspur,,,29.12065422,78.61668391,India,Asia
4450,2,193.2637366,796.9000244,643.0750275,837.9250183,25.45541096,25.69927502,25.00245667,0.320686274,0.297561835,0.204113359,117.9635,116.4559,113.66738,102.34416,2725.538372,1199.513973,615.804966,84275.90234,87883.70935,36400.19635,116132192,71883040,60549968,0.952598035,0.869876981,0.337287009,3.297411889,2,Anupshahr,,,28.35963449,78.26169262,India,Asia
4451,2,263.2304509,717.0500031,558.4749985,699.8999939,27.53936577,27.50591707,27.31448317,0.374365813,0.383197804,0.19169792,47.7864,39.01884,37.472,35.69116,5417.192181,2277.471239,1767.930224,111670.835,98845.38232,79893.52905,541812800,197900816,148066848,2.498965979,2.195877075,1.586537123,3.527455866,2,Pachora,,,20.66323092,75.34834148,India,Asia
4452,2,334.8133637,1018.950012,748.1250076,793.6000061,26.27715349,26.46900702,26.28469276,0.471762055,0.409110047,0.220908324,56.75,51.30002,49.64102,46.33334,1742.350082,731.1797212,624.3737164,63926.36987,70626.73631,66739.40326,73786984,48141580,36756428,0.353978992,0.173404008,0.087892994,7.46308012,2,Chhipabarod,,,24.62216044,76.70988547,India,Asia
4453,2,448.6857278,1123.125046,763.8999939,911.4750214,25.49999189,25.70589161,25.53028154,0.355190357,0.367894484,0.185360151,52.35115,43.55492,42.29034,39.89172,2570.667464,1148.192992,895.1023103,103570.4148,97080.97424,75559.74329,234473456,118037112,99127728,1.910338998,1.629217029,0.982028961,9.525558215,2,Shajapur,,,23.42338428,76.28045952,India,Asia
4454,2,215.8860751,972.2750244,839.5000153,1078.600037,24.42159748,24.70026684,23.86400843,0.38149689,0.389913446,0.286395296,97.9748,88.28494,87.67142,82.92248,16002.69846,6297.30154,4817.347635,162549.0697,130006.8168,109228.018,466375328,227505040,191636608,1.289614916,1.065641046,0.807039022,2.111191239,2,Kanth,,,29.07352274,78.63034402,India,Asia
4455,2,172.6541726,735.1250305,570.6750107,707.6000061,26.06049585,26.29682779,25.82539654,0.376902289,0.368333598,0.282619525,103.188,103.19464,105.5408,93.738,20092.86506,6855.841243,4194.2505,76596.91272,36036.22227,17389.91134,197146656,116714488,98313312,1.167822003,0.549964964,0.250537008,5.769253156,2,Runkata,,,27.23015579,77.87108347,India,Asia
4456,2,563.5468883,945.25,820.7500153,990.0000153,26.04311752,25.72306061,25.57683611,0.443885388,0.40500245,0.238480073,38.25655,32.08362,31.10558,30.66526,5407.727797,2315.205826,2116.239365,57548.94495,50892.41882,52657.56628,280897984,101765600,76139704,1.070780993,0.883678019,0.665065944,2.854986893,2,Kagal,,,16.58284781,74.31022613,India,Asia
4457,2,179.0429096,770.9250183,626.8499985,789.7000275,25.76377249,25.97454882,25.36124659,0.339546173,0.28234412,0.209897464,113.357,114.57542,115.62568,102.08984,53892.25053,23798.54128,18493.88312,470061.8292,488392.1919,416340.3285,1152942976,626035200,527334528,6.898791313,4.141431332,2.428958416,7.245560226,2,Hathras,,,27.62728026,78.06293019,India,Asia
4458,2,210.0116388,795.2000122,620.0000229,733.0750275,26.02577639,26.28286123,25.8322525,0.33224519,0.289813064,0.230349434,83.12305,80.02538,82.67538,73.1077,6323.199531,2548.364059,1947.970063,228322.4541,180577.7678,145379.5606,659970240,322575872,246288896,1.163166046,0.862751961,0.737286985,8.693806342,2,Bari,,,26.64556887,77.61267842,India,Asia
